,S.N.,Symbol,Mutual Fund Name,Fund Size (Rs.),Maturity Date,Maturity Period,Weekly Nav (Rs.),Weekly Nav Date,Monthly Nav (Rs.),Monthly Nav Date,LTP (Rs.),As of:,Premium (+) or Discount (-) %
1,1,LEMF,Laxmi Equity Fund,1250000000.0,2024-06-12,7 Years,10.77,2023-07-14,10.56,Jestha 2080,9.23,2023-07-26,-14.3
2,2,NIBLPF,NIBL Pragati Fund,750000000.0,2024-01-11,7 Years,10.52,2023-07-14,10.28,Jestha 2080,9.45,2023-07-26,-10.17
3,3,NMBHF1,NMB Hybrid Fund L- 1,1000000000.0,2023-10-26,7 Years,12.46,2023-07-21,11.44,Jestha 2080,11.25,2023-07-26,-9.71
4,4,NEF,Nabil Equity Fund,1250000000.0,2023-11-06,7 Years,11.0,2023-07-21,10.37,Jestha 2080,9.79,2023-07-26,-11.0
5,5,SAEF,Sanima Equity Fund,1300000000.0,2024-12-26,7 Years,13.32,2023-07-21,12.8,Jestha 2080,11.37,2023-07-26,-14.64
6,6,SEF,Siddhartha Equity Fund,1500000000.0,2027-11-08,10 Years,10.79,2023-07-21,10.23,Jestha 2080,8.99,2023-07-26,-16.68
7,7,CMF1,Citizens Mutual Fund-1,820000000.0,2025-03-03,7 Years,9.9,2023-07-14,9.39,Jestha 2080,8.1,2023-07-26,-18.18
8,8,NICGF,NIC Asia Growth Fund,835200000.0,2025-03-12,7 Years,12.02,2023-07-21,11.61,Jestha 2080,10.25,2023-07-26,-14.73
9,9,NBF2,Nabil Balanced Fund - 2,1120000000.0,2029-05-31,10 Years,11.17,2023-07-21,10.24,Jestha 2080,8.73,2023-07-26,-21.84
10,10,CMF2,Citizens Mutual Fund - 2,560000000.0,2026-07-08,7 Years,10.54,2023-07-14,10.05,Jestha 2080,8.55,2023-07-26,-18.88
11,11,NMB50,NMB 50,1250000000.0,2026-09-01,7 Years,12.76,2023-07-21,11.83,Jestha 2080,10.68,2023-07-26,-16.3
12,12,SIGS2,Siddhartha Investment Growth Scheme-2,1200000000.0,2029-08-26,10 Years,10.93,2023-07-21,10.38,Jestha 2080,8.97,2023-07-26,-17.93
13,13,NICBF,NIC ASIA Balanced Fund,755000000.0,2029-08-27,10 Years,11.3,2023-07-21,10.96,Jestha 2080,9.5,2023-07-26,-15.93
14,14,SFMF,Sunrise First Mutual Fund,860000000.0,2029-11-04,10 Years,12.84,2023-07-14,12.53,Jestha 2080,11.06,2023-07-26,-13.86
15,15,LUK,Laxmi Unnati Kosh,652623600.0,2027-10-01,7 Years,10.95,2023-07-14,10.69,Jestha 2080,9.3,2023-07-26,-15.07
16,16,SLCF,Sanima Large Cap Fund,1200000000.0,2028-02-23,7 years,9.91,2023-07-21,9.56,Jestha 2080,7.76,2023-07-26,-21.7
17,17,KEF,Kumari Equity Fund,1000000000.0,2031-03-18,10 years,11.17,2023-07-21,10.72,Jestha 2080,9.05,2023-07-26,-18.98
18,18,SBCF,Sunrise Bluechip Fund,1250000000.0,2031-03-26,10 years,9.83,2023-07-14,9.63,Jestha 2080,8.0,2023-07-26,-18.62
19,19,PSF,Prabhu Select Fund,1250000000.0,2028-06-21,7 years,11.15,2023-07-21,10.71,Jestha 2080,9.1,2023-07-26,-18.39
20,20,NIBSF2,NIBL Samriddhi Fund - 2,1500000000.0,2031-05-29,10 years,9.22,2023-07-14,9.0,Jestha 2080,7.53,2023-07-26,-18.33
21,21,NICSF,NIC Asia Select-30,1250000000.0,2028-07-05,7 years,10.76,2023-07-21,10.43,Jestha 2080,8.95,2023-07-26,-16.82
22,22,RMF1,RBB Mutual Fund 1,1250000000.0,2028-07-23,7 years,9.53,2023-07-14,9.39,Jestha 2080,7.8,2023-07-26,-18.15
23,23,NBF3,Nabil Balanced Fund III,1250000000.0,2031-09-23,10 years,9.28,2023-07-21,8.79,Jestha 2080,7.47,2023-07-26,-19.5
24,24,MMF1,Mega Mutual Fund - 1,1250000000.0,2031-09-08,10 years,8.79,2023-07-14,8.63,Jestha 2080,7.5,2023-07-26,-14.68
25,25,KDBY,Kumari Dhanabriddhi Yojana,1225072590.0,2032-07-25,10 years,11.24,2023-07-21,10.85,Jestha 2080,9.16,2023-07-26,-18.51
26,26,NICFC,NIC Asia Flexi Cap Fund,1020000000.0,2029-06-15,7 years,10.7,2023-07-21,10.37,Jestha 2080,8.39,2023-07-26,-21.59
27,27,GIBF1,Global IME Balance Fund-I,1025763600.0,2032-07-28,10 years,10.6,2023-07-21,10.11,Jestha 2080,8.73,2023-07-26,-17.64
28,28,NSIF2,NMB Sulav Investment Fund - II,1200000000.0,2032-09-01,10 years,11.44,2023-07-21,10.92,Jestha 2080,9.55,2023-07-26,-16.52
29,29,SAGF,Sanima Growth Fund,672532600.0,2033-11-27,11 years,10.35,2023-07-21,10.09,Jestha 2080,8.25,2023-07-26,-20.29
30,30,NIBLGF,NIBL Growth Fund,1320000000.0,2033-01-17,10 years,10.16,2023-07-14,10.03,Jestha 2080,8.23,2023-07-26,-19.0
31,31,SFEF,Sunrise Focused Equity Fund,1000000000.0,2032-02-12,10 years,10.2,2023-07-14,10.05,Jestha 2080,8.11,2023-07-26,-20.49
32,32,PRSF,Prabhu Smart Fund,1000000000.0,2032-03-14,10 years,10.71,2023-07-21,10.43,Jestha 2080,9.3,2023-07-23,-13.17
